GID,tif,min,max,mean,count,sum,std,median,percentile_90
2001_373,2001_373_rbr_w_offset.tif,-200.0703887939453,599.5946044921875,299.81733842329544,352,105535.703125,146.54589915784697,330.9596862792969,466.4858703613281
1988_47,1988_47_rbr_w_offset.tif,-125.00076293945312,658.3262329101562,378.22989154993223,17704,6696182.0,138.6771149594843,407.9046936035156,532.6370849609375
2009_438,2009_438_rbr_w_offset.tif,-62.18682098388672,526.2449340820312,258.4331157105153,7199,1860460.0,116.59843038406284,257.743408203125,414.60589599609375
1998_879,1998_879_rbr_w_offset.tif,-96.08528900146484,216.64862060546875,32.09539675245098,612,19642.3828125,62.51339409688944,4.437322616577148,135.00473022460938
1987_33,1987_33_rbr_w_offset.tif,-61.64447784423828,639.4134521484375,348.43904771491844,4967,1730696.75,139.49835735680944,381.48052978515625,499.6700439453125
1996_627,1996_627_rbr_w_offset.tif,-199.45327758789062,513.201416015625,211.24803132188993,11302,2387525.25,128.94914506626776,214.5338134765625,388.85443115234375
2020_537,2020_537_rbr_w_offset.tif,-45.82918930053711,619.5311889648438,217.70751633986927,1683,366401.75,170.62906646231374,177.15138244628906,473.5286865234375
1996_720,1996_720_rbr_w_offset.tif,-152.76849365234375,592.1902465820312,271.0029603315571,8445,2288620.0,169.3968965059513,264.0273742675781,502.4225158691406
2006_692,2006_692_rbr_w_offset.tif,-301.6234436035156,366.1825256347656,3.599956639238464,3099,11156.265625,156.46588023208497,-31.98776626586914,210.8756866455078
1999_455,1999_455_rbr_w_offset.tif,-211.86863708496094,569.5330810546875,39.99267756795609,1913,76505.9921875,168.45741116073611,-30.989835739135742,350.2422790527344
1995_995,1995_995_rbr_w_offset.tif,-473.406005859375,632.81494140625,210.47767740901716,49927,10508519.0,192.68233137002116,230.51913452148438,452.83056640625
2012_685,2012_685_rbr_w_offset.tif,-213.4583282470703,563.884521484375,298.3331574318382,11370,3392048.0,137.75656001447345,299.62152099609375,479.4116516113281
2011_551,2011_551_rbr_w_offset.tif,-233.29898071289062,573.9625244140625,286.810937919914,7442,2134447.0,127.43014671875042,293.8565368652344,449.8687438964844
1988_26,1988_26_rbr_w_offset.tif,-774.7056884765625,414.897705078125,20.28361705667073,45085,914486.875,151.06538364312289,54.69213104248047,190.73680114746094
2017_3696,2017_3696_rbr_w_offset.tif,-52.265785217285156,582.5248413085938,263.30980399874056,794,209067.984375,132.1992579689521,273.57562255859375,425.0142822265625
1995_1419,1995_1419_rbr_w_offset.tif,-57.820594787597656,540.6664428710938,273.22945842111784,8069,2204688.5,121.62520493882184,286.4980163574219,425.42413330078125
1994_36,1994_36_rbr_w_offset.tif,-769.222412109375,620.7444458007812,-0.7099879062558707,85168,-60468.25,182.7394867267011,-42.25016403198242,314.4342041015625
2008_291,2008_291_rbr_w_offset.tif,-108.72447967529297,491.18585205078125,269.88513239664957,3701,998844.875,120.22266674844921,281.9763488769531,419.2928161621094
1999_434,1999_434_rbr_w_offset.tif,-375.6023254394531,644.3685302734375,307.053751632435,33692,10345255.0,158.8970006245739,319.44573974609375,505.1636047363281
1989_1025,1989_1025_rbr_w_offset.tif,-52.13463592529297,576.4501953125,274.812985667415,5791,1591442.0,119.94749647450739,269.8135986328125,437.17706298828125
1990_39,1990_39_rbr_w_offset.tif,-69.88048553466797,581.0919189453125,239.2965697036224,4555,1089995.875,120.82238839032651,243.1013946533203,382.9737243652344
1994_106,1994_106_rbr_w_offset.tif,-121.03148651123047,454.6028747558594,222.4819755771161,5978,1329997.25,101.12657567904077,234.66160583496094,347.2317199707031
2021_1898,2021_1898_rbr_w_offset.tif,-65.56304168701172,564.4177856445312,288.34181672312354,5609,1617309.25,130.38738801262653,325.4745178222656,420.2625427246094
1996_678,1996_678_rbr_w_offset.tif,-168.95541381835938,568.4507446289062,191.46707687390122,12514,2396019.0,116.92649474359753,189.11317443847656,342.16943359375
1996_445,1996_445_rbr_w_offset.tif,-868.4554443359375,601.6383666992188,79.32494758909853,185076,14681144.0,174.8134568462615,46.82776641845703,331.322998046875
1996_646,1996_646_rbr_w_offset.tif,-537.0465698242188,498.522705078125,102.23846095411729,16455,1682333.875,152.47894568738062,108.0221176147461,296.0115966796875
2012_667,2012_667_rbr_w_offset.tif,-204.91397094726562,528.7449951171875,246.8574622474995,25495,6293631.0,111.50284108889815,249.81639099121094,392.62725830078125
1996_519,1996_519_rbr_w_offset.tif,-555.0646362304688,418.9250183105469,66.61735922449988,12147,809201.0625,189.8376290616136,99.93632507324219,297.11322021484375
2020_533,2020_533_rbr_w_offset.tif,-8.710185050964355,505.9152526855469,235.64424229452055,730,172020.296875,110.1471602278917,242.99801635742188,388.4687805175781
2006_696,2006_696_rbr_w_offset.tif,-353.1510314941406,466.92877197265625,214.11926229508197,2135,457144.625,94.88299307718191,217.7662353515625,330.6665954589844
2015_1071,2015_1071_rbr_w_offset.tif,-133.72714233398438,531.9102783203125,258.2269230769231,2860,738529.0,124.04099121492669,277.47247314453125,404.034423828125
1989_1243,1989_1243_rbr_w_offset.tif,-285.591552734375,586.8235473632812,221.10263429253925,134799,29804414.0,125.91752512994054,205.47415161132812,403.61309814453125
1989_1147,1989_1147_rbr_w_offset.tif,-105.16770935058594,623.6757202148438,311.13647400213193,16886,5253850.5,136.1913792412306,332.9816589355469,473.7371520996094
1990_62,1990_62_rbr_w_offset.tif,-529.9595336914062,616.5303344726562,249.61585375413512,765396,191054976.0,134.52977421186637,272.5678405761719,405.31182861328125
2006_749,2006_749_rbr_w_offset.tif,-40.171470642089844,314.5279541015625,123.30256156093489,1198,147716.46875,73.35244194345232,120.623046875,221.87403869628906
1993_13,1993_13_rbr_w_offset.tif,-463.1308898925781,481.47412109375,40.62028749908672,27374,1111939.75,179.5601379322087,-43.607337951660156,348.0146179199219
2015_1148,2015_1148_rbr_w_offset.tif,-139.9581756591797,431.4210510253906,121.65629751647238,5919,720083.625,96.85883477215931,133.9261016845703,240.18360900878906
2013_848,2013_848_rbr_w_offset.tif,-178.28298950195312,520.81005859375,125.93345408992415,3692,464946.3125,173.61336995192713,38.79539489746094,378.8468933105469
2002_718,2002_718_rbr_w_offset.tif,-26.211305618286133,556.8685913085938,263.2332254768392,1101,289819.78125,115.45381655688011,274.3736877441406,403.2895202636719
2011_737,2011_737_rbr_w_offset.tif,-113.75459289550781,457.1159973144531,158.11944665605097,785,124123.765625,139.01432694106546,172.39122009277344,336.3990478515625
2001_377,2001_377_rbr_w_offset.tif,-6.48866081237793,622.5593872070312,384.03894569041336,1137,436652.28125,139.08789284412396,425.372802734375,535.77880859375
1988_43,1988_43_rbr_w_offset.tif,-270.291015625,547.0860595703125,155.7317383834594,50639,7886099.5,81.99910424225358,153.91619873046875,258.6764221191406
2015_1991,2015_1991_rbr_w_offset.tif,-192.88949584960938,379.6038818359375,-26.0571506232066,697,-18161.833984375,86.3757338491036,-15.5714111328125,39.36304473876953
2008_315,2008_315_rbr_w_offset.tif,-229.53350830078125,468.361572265625,206.09842385758023,8819,1817582.0,136.18324544480737,233.45425415039062,364.2815856933594
2006_892,2006_892_rbr_w_offset.tif,-66.89714050292969,107.84620666503906,-11.42557756152534,513,-5861.3212890625,19.334178551653977,-12.911757469177246,12.227923393249512
1991_119,1991_119_rbr_w_offset.tif,-219.66241455078125,573.4387817382812,333.179259016259,48773,16250152.0,108.87680830335772,352.6525573730469,454.884765625
1991_26,1991_26_rbr_w_offset.tif,-111.52094268798828,590.8080444335938,362.41503267973854,13923,5045904.5,146.34414477843066,401.6271057128906,516.7916259765625
2011_433,2011_433_rbr_w_offset.tif,-220.84649658203125,604.1353149414062,266.073083734504,40091,10667136.0,139.06598615788891,277.0030822753906,442.03814697265625
2006_874,2006_874_rbr_w_offset.tif,-33.19828414916992,390.7492980957031,181.47576836083022,1879,340992.96875,97.21695525290649,183.59036254882812,312.9743347167969
