GID,mean_ndvi
2017_2883,0.808286301919162
2017_2528,0.6696042140570666
2017_2541,0.6235724767006807
2017_2423,NA
2018_598,0.7271651901598087
2018_1035,0.7644222913632138
2018_1598,0.7064526522570332
2019_833,0.7400954477204207
2019_1517,0.6976829271734679
2020_372,0.8617026394592541
2021_2322,0.731388975044899
2021_2319,NA
2021_1321,0.6412248517353337
2021_2326,0.7647375459553426
1987_17,0.416438662454955
1987_12,0.4859440261213644
1988_22,0.33361230993293334
1988_19,0.6510753784539908
1989_1264,0.5808502786930126
1992_9,0.5219991356569196
1995_1182,0.543866559983427
1995_1230,0.6098985952360281
1995_1210,NA
1996_716,NA
1996_717,0.5898748880903477
1996_600,0.5916581500018275
1996_605,0.592412017359922
1996_720,NA
1996_639,0.623853532926062
1996_678,0.5538055620274644
1996_586,0.5810756853597886
1996_590,0.6291561411475081
1996_597,0.6009724605589626
1996_604,0.5872406143454117
1996_650,0.6264170744018043
1996_652,0.5575749637137029
1996_667,0.6244163487300486
1996_668,0.5354465934449866
1996_659,0.5441394108525768
1996_674,NA
1996_584,0.5632431766538616
1996_615,NA
1996_627,0.6321817093916527
1996_719,0.6129455805586731
1997_431,0.417284305862326
1998_741,0.442914460951702
1998_695,0.3643212844509317
1998_698,0.4749773563096667
1998_859,NA
1998_855,0.683098984040372
1998_853,NA
1998_845,0.7753706255113956
1999_698,0.6429171879142604
2002_686,0.7696757583756345
2002_689,0.8218838094051958
2003_807,0.6737018136977337
2006_681,0.769599251111714
2006_702,0.7719992644058606
2006_688,0.7855728104601353
2007_380,0.5862542080487781
2011_730,0.587418048439463
2011_568,0.8138980666323601
2012_747,0.7979596367653682
2012_1051,NA
1996_657,0.4676816306671252
1996_635,0.6069593307562783
1996_640,0.6861550306872709
1998_732,0.4939434019855858
1998_746,0.7655288210268653
2005_488,0.620862338646206
2005_493,0.7049708443580639
2005_511,0.23785945433525063
2005_515,0.7240986957943357
2005_502,0.6829339476760773
2005_492,0.6636688073670115
2006_696,0.782483928637689
2006_665,0.7950838405541477
2006_676,0.7456380619538787
2006_751,0.7708448087270412
2006_692,0.7018104936061899
2006_690,0.6978144507362094
2006_747,0.7774923516678086
2006_677,0.717912971584167
2006_874,0.8058575158293734
2006_748,0.7538673234416836
2011_551,0.7500148383805157
2011_542,0.7669832293146945
2011_557,0.7205698612687482
2021_1353,0.6734855861601593
2021_1890,0.6535080370159442
1987_47,NA
1988_66,0.6871319029577617
1989_881,NA
1990_21,0.4666034108416829
1992_29,0.4095784288323147
1995_1121,0.40625243133247946
1995_1106,0.4800832995610494
1995_1108,0.5656634229492752
1995_1220,0.5316000612371475
1995_1232,0.6569987271242332
1995_1404,0.638676693883474
1995_1048,0.6044424558802254
1995_1165,0.6521075948743166
1996_598,0.6470147254105175
1996_498,NA
1996_588,0.6234175498304415
1998_674,0.6671714573716558
1998_865,NA
1998_869,0.68291551068236
1999_455,0.7589246108858835
2001_367,0.6131996027206299
2001_364,0.7072117406352635
2002_641,0.77242321938533
2003_750,NA
2003_735,0.5949271264474348
2003_713,0.5029266553968373
2003_692,0.6363754052029584
2003_888,0.5852450569140945
2006_624,0.683445506315063
2008_779,0.6028692503120656
2009_448,0.5876886943319439
2010_546,0.6887524568008754
2010_876,0.5963636958853968
2011_504,NA
2011_731,0.7480502464615754
2011_737,0.655499043750688
2011_742,0.6962167993930367
2012_1042,0.4934367961541261
2012_1055,0.7768955829503428
2013_1187,0.5097101247887865
2014_1295,0.7539214043507255
2015_1136,0.5292317105811044
2015_1091,0.7182842676249686
2016_1174,0.7444941507848417
2017_2285,0.7569793213236712
2017_2059,0.7474283521313286
2017_3695,0.757651803840451
2017_2120,0.6808606483044103
2017_3696,0.7507108077513263
2017_2106,0.7237537220247814
2017_2197,0.6828432224765194
2017_3694,0.5387751782086678
2018_2811,0.709936809959057
