GID,NFIREID,fire_id,evi_period_start,evi_period_end,total_pixels,mean_evi,fire_processing_time_seconds,total_processing_time_seconds,avg_processing_time_seconds
2017_1542,1542,2017_1542,2017-06-30,2017-07-30,2535,0.3450290107487841,2.275789976119995,6863.984381914139,5.826811869197062
2017_1738,1738,2017_1738,2017-06-30,2017-07-30,4153,0.34958384360200395,2.1438636779785156,6863.984381914139,5.826811869197062
2017_1780,1780,2017_1780,2017-07-03,2017-08-03,1078,0.3029217085540961,7.584230899810791,6863.984381914139,5.826811869197062
2017_1726,1726,2017_1726,2017-07-04,2017-08-04,455,0.3731621625174654,5.703454971313477,6863.984381914139,5.826811869197062
2017_1452,1452,2017_1452,2017-07-06,2017-08-06,3353,0.3104155052630391,2.276190996170044,6863.984381914139,5.826811869197062
2017_1770,1770,2017_1770,2017-07-07,2017-08-07,1370,0.3659838473774517,2.5013749599456787,6863.984381914139,5.826811869197062
2017_1772,1772,2017_1772,2017-07-07,2017-08-07,1478,0.3220544017842383,4.940157890319824,6863.984381914139,5.826811869197062
2017_1616,1616,2017_1616,2017-07-08,2017-08-08,2298,0.4127157384963002,7.349360942840576,6863.984381914139,5.826811869197062
2017_2128,2128,2017_2128,2017-07-09,2017-08-09,892,0.3990655018994099,2.462125062942505,6863.984381914139,5.826811869197062
2017_1236,1236,2017_1236,2017-07-10,2017-08-10,2287,0.3569763926446889,3.721153974533081,6863.984381914139,5.826811869197062
2017_2048,2048,2017_2048,2017-07-10,2017-08-10,762,0.4123114488553886,1.5484559535980225,6863.984381914139,5.826811869197062
2017_2078,2078,2017_2078,2017-07-10,2017-08-10,7061,0.3410135005594007,2.3991169929504395,6863.984381914139,5.826811869197062
2017_1629,1629,2017_1629,2017-07-11,2017-08-11,1560,0.3323579636688545,2.264446973800659,6863.984381914139,5.826811869197062
2017_2037,2037,2017_2037,2017-07-11,2017-08-11,1,0.44116392183633396,2.9661707878112793,6863.984381914139,5.826811869197062
2017_3743,3743,2017_3743,2017-07-11,2017-08-11,15465,0.38216315393019745,3.7714860439300537,6863.984381914139,5.826811869197062
2017_1415,1415,2017_1415,2017-07-12,2017-08-12,881,0.3866503376307747,1.5489790439605713,6863.984381914139,5.826811869197062
2017_1666,1666,2017_1666,2017-07-12,2017-08-12,9217,0.3274635532937302,1.7271909713745117,6863.984381914139,5.826811869197062
2017_3699,3699,2017_3699,2017-07-13,2017-08-13,936,0.3334149301910995,1.547379970550537,6863.984381914139,5.826811869197062
2017_1803,1803,2017_1803,2017-07-15,2017-08-15,922,0.2863587172487771,7.082188129425049,6863.984381914139,5.826811869197062
2017_1564,1564,2017_1564,2017-07-17,2017-08-17,565,0.3962582785333774,3.6806299686431885,6863.984381914139,5.826811869197062
2017_1668,1668,2017_1668,2017-07-18,2017-08-18,3541,0.3729159619455006,2.434302806854248,6863.984381914139,5.826811869197062
2017_1970,1970,2017_1970,2017-07-24,2017-08-24,772,0.37470978569229,1.9079747200012207,6863.984381914139,5.826811869197062
2017_1471,1471,2017_1471,2017-07-31,2017-08-31,13622,0.3687642543954821,5.207519054412842,6863.984381914139,5.826811869197062
2018_2810,2810,2018_2810,2018-05-13,2018-06-13,1261,0.3135097726745266,10.471160888671875,6863.984381914139,5.826811869197062
2018_2019,2019,2018_2019,2018-05-18,2018-06-18,2303,0.2614426080977628,2.462425947189331,6863.984381914139,5.826811869197062
2018_1466,1466,2018_1466,2018-05-19,2018-06-19,1386,0.27349470385097274,2.917084217071533,6863.984381914139,5.826811869197062
2018_342,342,2018_342,2018-05-20,2018-06-20,22,0.358499039590589,3.4635231494903564,6863.984381914139,5.826811869197062
2018_519,519,2018_519,2018-05-25,2018-06-25,25914,0.31175759028602507,2.661997079849243,6863.984381914139,5.826811869197062
2018_2018,2018,2018_2018,2018-05-26,2018-06-26,5,0.36555245582880136,1.9288177490234375,6863.984381914139,5.826811869197062
2018_1717,1717,2018_1717,2018-06-07,2018-07-07,4836,0.3505181852215651,2.3329110145568848,6863.984381914139,5.826811869197062
2018_969,969,2018_969,2018-06-09,2018-07-09,12521,0.3357509165937462,4.750307083129883,6863.984381914139,5.826811869197062
2018_1927,1927,2018_1927,2018-06-09,2018-07-09,3770,0.317449418950635,2.469377040863037,6863.984381914139,5.826811869197062
2018_2063,2063,2018_2063,2018-06-11,2018-07-11,44571,0.3251209520243697,3.239906072616577,6863.984381914139,5.826811869197062
2018_710,710,2018_710,2018-06-14,2018-07-14,2607,0.34704783699453917,5.375046253204346,6863.984381914139,5.826811869197062
2018_1946,1946,2018_1946,2018-06-14,2018-07-14,8382,0.3003236675385611,3.1782469749450684,6863.984381914139,5.826811869197062
2018_106,106,2018_106,2018-07-03,2018-08-03,0,,3.2730190753936768,6863.984381914139,5.826811869197062
2019_1522,1522,2019_1522,2019-06-14,2019-07-14,1392,0.29487599464817604,4.6365110874176025,6863.984381914139,5.826811869197062
2019_605,605,2019_605,2019-06-27,2019-07-27,332,0.4139519848392597,4.196353197097778,6863.984381914139,5.826811869197062
2019_607,607,2019_607,2019-06-27,2019-07-27,0,,2.7977731227874756,6863.984381914139,5.826811869197062
2019_630,630,2019_630,2019-06-27,2019-07-27,0,,3.3877129554748535,6863.984381914139,5.826811869197062
2019_1524,1524,2019_1524,2019-06-27,2019-07-27,21,0.3420441286083486,3.061596155166626,6863.984381914139,5.826811869197062
2019_1523,1523,2019_1523,2019-06-28,2019-07-28,1519,0.1540755476249856,2.0417089462280273,6863.984381914139,5.826811869197062
2019_1525,1525,2019_1525,2019-06-28,2019-07-28,2165,0.32350866013168783,2.165010929107666,6863.984381914139,5.826811869197062
2019_608,608,2019_608,2019-07-01,2019-08-01,9465,0.3163978127686658,2.082942008972168,6863.984381914139,5.826811869197062
2020_527,527,2020_527,2020-06-09,2020-07-09,991,0.3793100374673409,2.9509470462799072,6863.984381914139,5.826811869197062
2020_536,536,2020_536,2020-06-09,2020-07-09,1917,0.3241987388456752,2.381096124649048,6863.984381914139,5.826811869197062
2020_309,309,2020_309,2020-06-19,2020-07-19,4829,0.37515859200510276,4.147156000137329,6863.984381914139,5.826811869197062
2020_538,538,2020_538,2020-06-19,2020-07-19,960,0.35615439773398455,2.881577968597412,6863.984381914139,5.826811869197062
2020_539,539,2020_539,2020-06-23,2020-07-23,2413,0.4202707309334628,2.2947781085968018,6863.984381914139,5.826811869197062
2020_541,541,2020_541,2020-06-23,2020-07-23,2140,0.29928392973764245,3.0204029083251953,6863.984381914139,5.826811869197062
