GID,tif,median,percentile_95
1989_1161,1989_1161_rbr_w_offset.tif,365.7913818359375,586.7582397460938
1998_865,1998_865_rbr_w_offset.tif,-43.90163803100586,493.4118957519531
1996_438,1996_438_rbr_w_offset.tif,267.54443359375,435.5563659667969
1998_883,1998_883_rbr_w_offset.tif,266.3455505371094,415.80889892578125
1996_605,1996_605_rbr_w_offset.tif,293.6346740722656,500.5470275878906
2013_1192,2013_1192_rbr_w_offset.tif,235.35752868652344,351.2877502441406
2012_699,2012_699_rbr_w_offset.tif,-51.79821014404297,363.22943115234375
2017_2528,2017_2528_rbr_w_offset.tif,131.11866760253906,326.42547607421875
1990_21,1990_21_rbr_w_offset.tif,15.230661392211914,165.5714569091797
2003_895,2003_895_rbr_w_offset.tif,258.8280029296875,467.219970703125
1996_660,1996_660_rbr_w_offset.tif,155.19021606445312,420.9150390625
2002_566,2002_566_rbr_w_offset.tif,249.68125915527344,358.1353759765625
1996_564,1996_564_rbr_w_offset.tif,251.69570922851562,432.2483825683594
2012_1050,2012_1050_rbr_w_offset.tif,269.9789733886719,443.13494873046875
1996_582,1996_582_rbr_w_offset.tif,235.03567504882812,450.6629638671875
1991_65,1991_65_rbr_w_offset.tif,290.0909118652344,470.9334716796875
1994_10,1994_10_rbr_w_offset.tif,339.7226867675781,472.9396667480469
2021_2312,2021_2312_rbr_w_offset.tif,322.8610534667969,422.92987060546875
1995_1007,1995_1007_rbr_w_offset.tif,179.23223876953125,431.12408447265625
2005_599,2005_599_rbr_w_offset.tif,96.6403579711914,272.6832580566406
2023_1617,2023_1617_rbr_w_offset.tif,235.91307067871094,394.22039794921875
1998_625,1998_625_rbr_w_offset.tif,130.71131896972656,299.8735656738281
2011_568,2011_568_rbr_w_offset.tif,277.0034484863281,397.1729431152344
1995_1026,1995_1026_rbr_w_offset.tif,251.31651306152344,425.03948974609375
1995_1018,1995_1018_rbr_w_offset.tif,243.6563262939453,416.3666076660156
1995_1420,1995_1420_rbr_w_offset.tif,254.49252319335938,408.82562255859375
1991_44,1991_44_rbr_w_offset.tif,294.0140686035156,431.5567321777344
1986_11,1986_11_rbr_w_offset.tif,257.79888916015625,469.6806640625
1995_1121,1995_1121_rbr_w_offset.tif,12.240160942077637,249.6797332763672
1995_1322,1995_1322_rbr_w_offset.tif,133.75265502929688,301.9618835449219
1989_894,1989_894_rbr_w_offset.tif,261.714111328125,495.68670654296875
1998_722,1998_722_rbr_w_offset.tif,7.151354789733887,214.247802734375
1999_433,1999_433_rbr_w_offset.tif,264.20501708984375,443.1477355957031
2015_1013,2015_1013_rbr_w_offset.tif,209.27178955078125,478.06951904296875
1989_1326,1989_1326_rbr_w_offset.tif,315.3658447265625,471.0114440917969
1996_442,1996_442_rbr_w_offset.tif,279.332763671875,496.129638671875
2002_579,2002_579_rbr_w_offset.tif,183.83676147460938,546.7819213867188
2002_618,2002_618_rbr_w_offset.tif,-22.03559112548828,303.13275146484375
1995_996,1995_996_rbr_w_offset.tif,19.918842315673828,465.2571716308594
1996_723,1996_723_rbr_w_offset.tif,292.40338134765625,489.4331970214844
2012_660,2012_660_rbr_w_offset.tif,240.86402893066406,456.9475402832031
2012_686,2012_686_rbr_w_offset.tif,202.0797119140625,437.1246337890625
1989_1047,1989_1047_rbr_w_offset.tif,243.23553466796875,439.9849853515625
2006_677,2006_677_rbr_w_offset.tif,236.21542358398438,420.51544189453125
1993_14,1993_14_rbr_w_offset.tif,75.14759826660156,340.1044921875
1987_30,1987_30_rbr_w_offset.tif,347.0381774902344,519.5083618164062
2024_462,2024_462_rbr_w_offset.tif,281.312744140625,436.2873229980469
1996_427,1996_427_rbr_w_offset.tif,245.13348388671875,420.6711120605469
2024_484,2024_484_rbr_w_offset.tif,359.4913635253906,502.8395080566406
2011_730,2011_730_rbr_w_offset.tif,284.77490234375,436.9757385253906
1998_698,1998_698_rbr_w_offset.tif,280.85369873046875,429.4297180175781
